id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8838613,Bel Appartement de 100m² m°Pereire,23600663,Pierre-Julien,,Batignolles-Monceau,48.884839990110336,2.2987449866150604,Entire home/apt,125,2,0,,,1,0
10935018,Beau studio 2 pièces dans le 17ème,56693511,Rudy,,Batignolles-Monceau,48.88064885924226,2.29460888488507,Entire home/apt,40,5,0,,,1,288
10149542,Appartement,52090434,Frédéric,,Batignolles-Monceau,48.87598457412356,2.292293891559378,Entire home/apt,135,1,1,2016-06-11,1,1,99
2679020,Brochant,13716217,Sid,,Batignolles-Monceau,48.88913979217975,2.3214065277788,Entire home/apt,111,1,0,,,1,0
12248043,Charmant studio avec mezzanine,30402970,Charlène,,Batignolles-Monceau,48.88516031671383,2.312254886771773,Entire home/apt,45,1,5,2016-06-13,1.79,1,246
5694495,Beau 2 pièces proche Champs Elysées,1563032,Jeanne,,Batignolles-Monceau,48.88603358571681,2.293214932183652,Entire home/apt,100,4,0,,,1,364
3505001,"Charming flat ""Les Batignolles""",17646989,Théodore,,Batignolles-Monceau,48.883454803969585,2.318917802154241,Entire home/apt,55,3,36,2016-07-03,1.54,1,27
9626548,Cosy flat with view on Eiffel Tower,49793561,Sophie,,Batignolles-Monceau,48.885127690230945,2.2988013523631428,Entire home/apt,66,6,2,2016-02-16,0.32,1,244
1369494,65m2 - 2 Beds / 3 pcs bourgeois apt,2234336,Christophe,,Batignolles-Monceau,48.895118965853904,2.3125255215882623,Entire home/apt,70,6,3,2015-07-01,0.14,1,183
1238587,beautiful duplex 75017 paris,6752072,Rioufol,,Batignolles-Monceau,48.8863484087261,2.3219809104896774,Private room,200,2,0,,,1,365
9708616,A nest in the Batignolles district,27320305,François,,Batignolles-Monceau,48.88542567526897,2.3154882043442337,Entire home/apt,59,1,8,2016-06-29,1.76,1,364
